13,5,354.89,477.60,54.32,108.41,0.6107,0,1
13,6,659.40,335.25,34.41,91.83,0.5513,0,1
13,7,114.98,392.11,34.10,72.31,0.5162,0,1
13,8,872.76,287.46,29.20,84.68,0.4479,0,1
13,9,600.59,321.41,39.38,116.17,0.4457,0,1
13,10,310.16,580.64,68.08,119.77,0.4253,0,1
13,11,391.27,672.98,36.96,25.95,0.4092,32,1
13,12,751.69,715.24,56.90,40.76,0.4075,0,1
13,13,557.81,661.67,68.87,93.36,0.4010,0,1
13,14,482.32,662.28,67.91,91.76,0.3828,0,1
13,15,278.04,207.13,22.70,54.45,0.3652,0,1
13,16,813.51,318.17,30.39,71.51,0.3235,0,1
14,1,491.29,478.98,46.11,125.04,0.8516,0,1
14,2,799.59,400.63,45.27,91.76,0.7556,0,1
14,3,309.72,579.46,68.97,120.91,0.7401,0,1
14,4,871.20,296.95,29.72,75.77,0.7027,0,1
14,5,354.42,477.50,54.82,108.43,0.6156,0,1
14,6,169.40,545.94,76.58,86.58,0.6099,0,1
14,7,114.40,392.12,35.09,72.88,0.5492,0,1
14,8,599.44,325.45,39.11,113.70,0.5059,0,1
14,9,557.64,661.88,69.53,93.58,0.4793,0,1
14,10,391.28,673.00,36.53,25.09,0.4523,32,1
14,11,751.80,714.87,56.68,41.13,0.4187,0,1
14,12,254.44,289.05,27.54,78.97,0.4163,0,1
14,13,660.54,335.39,34.09,89.12,0.4133,0,1
14,14,482.63,662.48,67.90,91.90,0.3927,0,1
14,15,810.93,319.53,30.28,70.21,0.3573,0,1
14,16,297.71,485.98,44.16,114.47,0.2712,0,1
14,17,146.19,382.52,49.29,55.56,0.2600,0,1
15,1,491.43,478.66,45.72,125.18,0.8537,0,1
15,2,801.57,396.82,46.88,94.37,0.7487,0,1
15,3,309.89,579.87,69.00,120.15,0.7364,0,1
15,4,355.32,477.26,53.85,107.99,0.6302,0,1
15,5,873.13,298.48,26.84,72.87,0.6281,0,1
15,6,169.35,545.67,76.49,86.46,0.6001,0,1
15,7,693.59,378.26,26.89,86.07,0.5454,0,1
15,8,808.54,314.20,29.74,73.43,0.4939,0,1
15,9,557.54,662.00,69.37,93.61,0.4770,0,1
15,10,113.27,392.58,35.32,72.26,0.4639,0,1
15,11,750.84,713.93,57.58,42.07,0.4459,0,1
15,12,390.78,672.59,36.35,25.38,0.4345,32,1
15,13,599.39,328.97,39.62,112.25,0.3976,0,1
15,14,480.06,662.12,69.82,91.32,0.3843,0,1
15,15,663.03,335.81,33.43,89.05,0.3151,0,1
16,1,490.20,478.74,47.06,125.09,0.8656,0,1
16,2,804.54,393.96,51.15,94.00,0.7516,0,1
16,3,309.66,579.74,69.13,119.98,0.7443,0,1
16,4,355.62,477.10,53.69,108.19,0.6457,0,1
16,5,169.29,546.03,76.51,86.42,0.5506,0,1
16,6,556.93,661.53,69.88,94.47,0.5239,0,1
16,7,599.50,333.70,40.79,106.88,0.5114,0,1
16,8,870.42,294.56,27.70,77.38,0.5047,0,1
16,9,113.29,391.96,35.03,72.59,0.5027,0,1
16,10,750.33,714.09,58.29,41.91,0.4639,0,1
16,11,390.62,672.55,36.35,25.08,0.4378,32,1
16,12,480.35,661.96,70.60,91.97,0.3923,0,1
16,13,694.51,377.16,34.53,88.84,0.3793,0,1
16,14,664.81,336.76,29.17,88.55,0.3341,0,1
16,15,257.18,290.16,27.37,75.45,0.3164,0,1
16,16,143.45,382.17,52.76,54.34,0.2565,0,1
